N,Годы,Название,Историческая справка,Страна
914,(AD 1839–1963),"АДЕН (брит.)








ADEN (UK)","АДЕН (брит.) (AD 1839–1963) Владение Великобритании (до 1937 — входило в состав Британской Индии, с 1937 — коронная колония). Образовано на терр. совр. Йемена в результате отторжения Великобританией территории Адена от Лахеджа. Столица — Аден. Вошло в состав Федерации Южной Аравии (брит.)

ADEN (UK) (AD 1839–1963) Possession of the United Kingdom (until 1937 — was part of British India, 1937 — crown colony). Formed on the territory of Yemen as a result of exclusion from the UK territory of Aden Lahej. Capital — Aden. Joined the Federation of South Arabia (UK) /div>",Йемен
912,"(AD 1516–1538},{1547–1548)","АДЕН (порт.)





ADEN (Port.)","АДЕН (порт.) (AD 1516–1538},{1547–1548) Владение Португалии. (Зародилось на терр. совр. Йемена в результате завоевания Адена Португалией. Завоевано Османской импрерией},{Завоевано Португалией. Завоевано Османской импрерией) Столица — Аден

ADEN (Port.) (AD 1516–1538},{1547–1548) Possession of Portugal. (Arose in the territory of Yemen as a result of the conquest Aden by Portugal. Conquered by the Ottoman Empire},{Conquered by Portugal. Conquered by the Ottoman Empire). Capital — Aden",Йемен
805,(AD 1991–),АЗЕРБАЙДЖАН,"АЗЕРБАЙДЖАН (AD 1991–) Государство, республика (Азербайджанская Республика). Зародилось на терр. совр. Азербайджана в результате распада СССР. Столица — Баку",Азербайджан
803,(AD 1918–1920),АЗЕРБАЙДЖАНСКАЯ ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА,"АЗЕРБАЙДЖАНСКАЯ ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА (AD 1918–1920) Государство, капиталлистическое. Образовано на терр. совр. Азербайджана в результате отделения от Советской России. Столица — Баку. После ввода советских войск и провозглашения советской власти преобразована в Азербайджанскую ССР",Азербайджан
804,(AD 1918–1920),АЗЕРБАЙДЖАНСКАЯ ССР,"АЗЕРБАЙДЖАНСКАЯ ССР (AD 1920–1922, март) Государство, социалистическое (Азербайджанская Советская Социалистическая Республика). Образовано на терр. совр. Азербайджана в результате установления советской власти в Азербайджанской Демократической Республике. Столица — Баку. Вошло в состав Закавказской СФСР",Азербайджан
84,"(AD 1304–1390},{1402–1425)",АЙДЫН,"АЙДЫН (AD 1304–1390},{1402–1425) Государство, феодальное. (Образовано на терр. совр.Турции в результате отделения от Конийского Султаната. Завоевано Османским Эмиратом},{Восстановлен Государством Тамерлана. Завоевано Османским Эмиратом)",Турция
68,(AD 1171–1250),"АЙЮБИДОВ, ГОСУДАРСТВО","ГОСУДАРСТВО АЙЮБИДОВ (AD 1171–1250)Государство, феодальное. Образовано на терр. совр. Египта в результате государственного переворота в Халифате Фатимидов. Столица — Каир. В результате государственного переворота преобразовано в Государство Мамлюков","Алжир
Египет Израиль Иордания Ирак Иран Йемен Ливан Ливия Саудовская Аравия Сирия Турция"
96,(AD 1468–1508),"АК-КОЮНЛУ, ГОСУДАРСТВО","ГОСУДАРСТВО АК-КОЮНЛУ(AD 1468–1508) Государство, феодальное. Образовано на терр. совр. Иранав результате победы кочевых туркменских племен над Государством Кара-Коюнлу. Столица — Тебриз. Разгромлено Государством Сефевидо",Азербайджан Армения Иран Ирак Иран Сирия Турция
909,(AD 100–940),"АКСУМ








AKSUM","АКСУМ (AD 100–940) (AD 1839–1963) Владение Великобритании (до 1937 — входило в состав Британской Индии, с 1937 — коронная колония). Образовано на терр. совр. Йемена в результате отторжения Великобританией территории Адена от Лахеджа. Столица — Аден. Вошло в состав Федерации Южной Аравии (брит.)

AKSUM (AD 100–940) State slave, monarchic (Himyarite Kingdom of Aksum). Arose in the territory of Ethiopia. Disintegrated. Capital — Aksum",Йемен
517,(1900–1300 BC),АЛАСИЯ,"АЛАСИЯ (1900–1300 BC) Государство, рабовладельческое. Зародилось во время минойской цивилизации на терр.Кипра. Завоевано Хеттским царством",Кипр
713,(AD 900–1240),АЛАНИЯ,"АЛАНИЯ(AD 900–1240) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. России, . Образовано аланами. Столица — Маас. Завоевано монголами и включено в состав Золотой Орды","Россия, (ЮФО),"
584,"(AD 1912–1914},{1920–1939},{1944–)",АЛБАНИЯ,"АЛБАНИЯ (AD 1912–1914},{1920–1939},{1944–) Государство капиталлистическое Республика Албания; в 1912–1914 — Государство Албания, в 1928–1939 — Королевство Албания, в 1946–1976 — Народная Республика Албания, в 1976–1991 — Народная Социалистическая Республика Албания). (Образовалось на терр. совр.Албании в результате отделения от Османской империи. Оккупировано Италией, Австро-Венгрией и Францией},{Вновь провозглашена независимость. Оккупировано Италией и преобразовано в Албанию (ит.), с 1943 оккупировано Германией},{Освобождено от оккупации.) Столица — Тирана",Албания
572,(AD 1939–1943),АЛБАНИЯ (ит.),АЛБАНИЯ (ит.) (AD 1939–1943) Колония (протекторат) Италии. Образована в результате оккупации ИталиейАлбании. Оккупирована Германией. Столица — Тирана,Албания Македония Сербия Черногория
26,(330–301 BC),"АЛЕКСАНДРА МАКЕДОНСКОГО, ИМПЕРИЯ

Empire Alexander the Great","ИМПЕРИЯ АЛЕКСАНДРА МАКЕДОНСКОГО (330–301 BC) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Греции. Создано Александром Македонским, путем завоевания Македонией Персидской Империи Ахеменидов. Столица — Вавилон. Распалась на ряд государств: Государство Селевкидов, Египет Птолемеев, Государство Лиссимаха",Азербайджан Албания Афганистан Бахрейн Болгария Греция Египет Израиль Индия Иордания Ирак Иран Казахстан Киргизстан Кипр Кувейт Ливан Ливия Македония Пакистан Румыния Сербия Сирия Таджикистан Туркменистан Турция Узбекистан
135,(AD 1924–1938),АЛЕКСАНДРЕТТА (фр.),АЛЕКСАНДРЕТТА (фр.) (AD 1924–1938) Мандатная территория Лиги наций под управлением Франции (Александреттский Санджак). Образована на терр. совр. Турции. Отделилась от Алеппо (фр.). Столица — Антиохия. Преобразована в независимое государство Хатай,Турция
129,(AD 1920–1925),АЛЕППО (фр.),"АЛЕППО (фр.) (AD 1920–1925) Мандатная территория Лиги наций под управлением Франции (Государство Алеппо). Образована на территории Сирии(зона брит.-фр. оккупации). Столица — Алеппо. Объединилось с Дамаском (фр.), образовав мандатную территорию Лиги наций под управлением Франции Сирию (фр.)",Турция Сирия
195,(AD 1962–),АЛЖИР,"АЛЖИР (AD 1962–) Государство, капиталистическое (Алжирская Народная Демократическая Республика). Образовано на терр. совр. Алжира в результате провозглашения независимости от Франции Алжиром (фр.). Столица — Алжир",Алжир
193,(AD 1711–1848),АЛЖИР (осм.),"АЛЖИР (осм.) (AD 1711–1848) Государство, вассал Османской Империи. Образовано на терр. совр.Алжира в результате отделения от Османской Империи. Столица — Алжир. Завоевано Францией — Алжир (фр.)",Алжир
181,(AD 1830–1962),АЛЖИР (фр.),"АЛЖИР (фр.) (AD 1830–1962) Объединение французских департаментов (Алжир, Константина, Оран). Образован на терр. совр. Алжира в результате завоевания Алжира (осм.), в 1848 включен в состав Франции. В 1962 г. провозглашена независимое Алжирская Республика",Алжир
233,(AD 1012-1104),АЛЬБАРРАСИНСКИЙ ЭМИРАТ,"АЛЬБАРРАСИНСКИЙ ЭМИРАТ (AD 1012-1104) Государство, феодальное теократическое арабо-мусульманское. Зародилось на терр. совр.Испании в результате распада Кордовского Халифата. Столица — Альбаррасин. Завоевано Государством Альморавидов",Испания
244,(AD 1012-1091),АЛЬМЕРИЙСКИЙ ЭМИРАТ,"АЛЬМЕРИЙСКИЙ ЭМИРАТ (AD 1012-1091) Государство, феодальное теократическое арабо-мусульманское. Зародилось на терр. совр.Испания в результате распада Кордовского Халифата. Столица — Альмерия. Завоевано Государством Альморавидов",Испания
234,(AD 1012-1103),АЛЬПУЭНТСКИЙ ЭМИРАТ,"АЛЬПУЭНТСКИЙ ЭМИРАТ (AD 1012-1103) Государство, феодальное теократическое арабо-мусульманское. Зародилось на терр. совр.Испания в результате распада Кордовского Халифата. Столица — Альпуэнте. Завоевано Государством Альморавидов",Испания
518,(669–570 BC),АМАТУС,"АМАТУС (669–570 BC) Город-государство, греческий. Образовался на терр. совр. Кипра в результате провозглашения независимости от Ассирии. Завоеван Египтом (Древним). Легендарным основателем города считается Кинир, отец Адониса и основатель культа Афродиты на острове, который назвал город в честь своей покойной матери Аматус (Аматеи)",Кипр
436,(AD 1945–1949),АМЕРИКАНСКАЯ ЗОНА ОККУПАЦИИ ГЕРМАНИИ,"АМЕРИКАНСКАЯ ЗОНА ОККУПАЦИИ ГЕРМАНИИ (AD 1945–1949) Образовалось на терр. совр. Германии . Часть территории Германии, оккупированная США в результате поражения Германии во 2-й мировой войне. На территории Британской, Французской и Американской зон оккупации провозглашена Федеративная Республика Германии. Штаб квартира оккупационных войск — Франкфурт",Германия
441,(AD 1945–1949),АМЕРИКАНСКИЙ СЕКТОР ОККУПАЦИИ БЕРЛИНА,"АМЕРИКАНСКИЙ СЕКТОР ОККУПАЦИИ БЕРЛИНА (AD 1945–1949) Образовалось на терр. совр. Германии. Часть территории Берлина, оккупированная США в результате поражения Германии во 2-й мировой войне.На территории Британского, Французского и Американского секторов оккупации создано особое политическое образование — Западный Берлин",Германия
19,(600–183 BC),АМИС,"АМИС (600–183 BC) Город-государство, колония, рабовладельческий, монархический. Основан древними греками на терр. совр.Турции. Завоеван Понтийским царством",Турция
144,(1350–732 BC),АММОН,"АММОН (1350–732 BC) Государство, рабовладельческое, монархическое. Находилось на терр. совр.Иордании. Образовано аммонитянами. Столица — Раббат-Аммон. Завоевано Ассирией",Иордания
272,"(AD 927–1014},{1042–1707)",АНГЛИЯ,"АНГЛИЯ (AD 927–1014},{1042–1707) Государство монархическое (Королевство Англия). (Зародилось на терр. совр.Великобритания Великобритании в результате объединения королем Уэссекса Этельстаном семи королевств: Уэссекс, Суссекс, Эссекс, Кент, Нортумбрия, Восточная Англия и Мерсия. Завоевано Данией},{Воссоздано. Объединилось с Шотландией, образовав Великобританию). Столица — Лондон",Великобритания Ирландия Кипр Франция
251,(AD 1278–),АНДОРРА,"АНДОРРА (AD 1278–) Государство, капиталистическое (Княжество Андорра). Образовалось на терр. совр. Андорры в результате отделения от Франции. Столица — Андорра-ла-Велья",Андорра
57,(AD 860–1045),АНИЙСКОЕ ЦАРСТВО,"АНИЙСКОЕ ЦАРСТВО (AD 860–1045) Государство, армянское феодальное, монархическое. Возникло на терр. совр.Турции в результате свержения власти Халифата Аббасидов княжеским родом Багратидов на большей части армянских земель. Столицы — Карс (до 961), Ани. Завоевано Византийской Империей",Азербайджан Армения Иран Турция
69,(AD 1098–1268),АНТИОХИЙСКОЕ КНЯЖЕСТВО,"АНТИОХИЙСКОЕ КНЯЖЕСТВО (AD 1098–1268) Государство, феодальное, монархическое. Образовано крестоносцами на территории Сельджукского Гоосударства (терр. совр. Сирии). Столица — Антиохия. Завоевано Государством Мамлюков.",Сирия Турция
431,(AD 1863–1871),АНХАЛЬТ,"АНХАЛЬТ (AD 1863–1871) Государство, монархическое (Герцогство Анхальт). Образовалось на терр. совр.Германии в результате объединения герцогств Анхальт-Бернбург и Анхальт-Дессау. В 1863–1866 — член Германского союза, в 1867–1871 — член Северогерманского союза. Вошло в состав объединенной Германии. Столица — Дессау",Германия
396,(AD 1806–1863),АНХАЛЬТ-БЕРНБУРГ,"АНХАЛЬТ-БЕРНБУРГ (AD 1806–1863) Государство, монархическое (Герцогство Анхальт-Бернбург). Образовалось на терр. совр. Германии в результате ликвидации Священной Римской империи (в составе Священной Римской империи образовано в 1803 в результате преобразования Княжества Анхальт-Бернбург). В 1807–1813 — член Рейнского союза, в 1815–1863 — член Германского союза. Вошло в состав объединенного Герцогства Анхальт. Столица — Бернбург",Германия
397,(AD 1806–1863),АНХАЛЬТ-ДЕССАУ,"АНХАЛЬТ-ДЕССАУ (AD 1806–1863) Государство, монархическое (Герцогство Анхальт-Дессау, до 1807 — Княжество Анхальт-Дессау). Образовалось на терр. совр. Германии в результате ликвидации Священной Римской империи. В 1807–1813 — член Рейнского союза, в 1815–1863 — член Германского союза. Вошло в состав объединенного Герцогства Анхальт. Столица — Дессау",Германия
398,(AD 1806–1847),АНХАЛЬТ-КЁТЕН,"АНХАЛЬТ-КЁТЕН (AD 1806–1847) Государство, монархическое (Герцогство Анхальт-Кётен, до 1807 — Княжество Анхальт-Дессау). Образовалось на терр. совр. Германии в результате ликвидации Священной Римской империи и преобразования Княжества Анхальт-Кётен. В 1807–1813 — член Рейнского союза, в 1815–1847 — член Германского союза. Вошло в состав Герцогства Анхальт-Дессау. Столица — Кётен",Германия
570,(588–148 BC),АПОЛЛОНИЯ ИЛЛИРИЙСКАЯ,"АПОЛЛОНИЯ ИЛЛИРИЙСКАЯ (588–148 BC) Город-государство, рабовладельческий,олигархическая республика, греческая колония. Основан древними греками на терр. совр. Албании. Завоеван Римской республикой",Албания
540,(610–71 BC),АПОЛЛОНИЯ ПОНТИЙСКАЯ,"АПОЛЛОНИЯ ПОНТИЙСКАЯ (610–71 BC) Город-государство, рабовладельческий, монархический, греческая колония. Основан древними греками на терр. совр. Болгарии. Завоеван Римской республикой. В настоящее время — город Созопол",Болгария
325,(AD 1042–1130),АПУЛИЯ И КАЛАБРИЯ,"АПУЛИЯ И КАЛАБРИЯ (AD 1042–1130) Государство, феодальное, монархическое (Герцогство Апулия и Калабрия). Зародилось на терр. совр.Италиив результате отделения от Византийской Империи. Столица — Салерно. В результате объединения Герцогство Апулия и Калабрия и Графства Сицилия образовано Королевство Апулия и Сицилия",Италия
327,(AD 1130–1282),АПУЛИЯ И СИЦИЛИЯ,"АПУЛИЯ И СИЦИЛИЯ (AD 1130–1282) Государство, феодальное, монархическое. Зародилось на терр. совр.Италии в результате объединения Герцогство Апулия и Калабрия и Графства Сицилия. Столица — Палермо. После отделения Неаполитанского Королевства переименовано в Королевство Сицилия",Албания Греция Италия Мальта
53,(AD 632–750),АРАБСКИЙ ХАЛИФАТ,"АРАБСКИЙ ХАЛИФАТ (AD 632–750) Государство, феодальное теократическое арабо-мусульманское. Зародилось на терр. совр. Саудовской Аравии. Образовано Мухаммадом путем объединения арабских племен. Столица — Дамаск (с 661). Преобразован в Халифат Аббасидов путем смены династии Омейядов на Аббасидов","Азербайджан Армения Алжир Андорра Афганистан Бахрейн Гибралтар Греция Грузия Египет Израиль Индия Иордания Ирак Иран Испания Йемен Казахстан Кипр Киргизстан Ливан Ливия Марокко ОАЕ Оман Пакистан Португалия Россия, (ЮФО), Саудовская Аравия Сирия Таджикистан Тунис Туркменистан Турция Узбекистан Франция"
247,(AD 1035–1516),АРАГОН,"АРАГОН (AD 1035–1516) Государство, феодальное, монархическое (Королевство Арагон). Зародилось на терр. совр.Испания в результате отделения от Королевства Наварра Объединилось с Кастилией и Леоном, образовав Испанию. Столица — Сарагоса.",Испания Италия Монако Франция
118,(1100–732 BC),АРАМ,"АРАМ (1100–732 BC) Государство, рабовладельческое, монархическое. Зародилось на терр. совр.Сирии. Создано арамеями. Столица — Дамаск. Завоевано Ассирией",Иордания Ливан Сирия
573,(AD 1190–1254),АРБЕРИЙСКОЕ КНЯЖЕСТВО,"АРБЕРИЙСКОЕ КНЯЖЕСТВО (AD 1190–1254) Государство, феодальное, монархическое. Зародилось на терр. совр.Албании в результате отделения от Византийской империи. Вошло в состав Эпирского деспотата. Столица — Круя",Албания
116,(1500–564 BC),АРВАД,"АРВАД (1500–564 BC) Город-государство, финикийское рабовладельческое. Находился на терр. совр. Сирии. Создан финикийцами. Завоеван Вавилонией",Сирия
483,"(1100–338 ВС},{280–229 ВС},{147–146 BC)",АРГОС,"АРГОС (1100–338 ВС},{280–229 ВС},{147–146 BC) Город-государство. (Зародился на терр.Греции после захвата п-ова Пелопоннес дорийцами. Завоеван Македонией (Древней)},{Вышел из состава Македонии (Древней). Вошел в состав Ахейского Союза}, {Вышел изсостава Ахейского Союза. Вошел в состав Римской Республики)",Греция
399,(AD 1806–1810),АРЕНБЕРГ,"АРЕНБЕРГ (AD 1806–1810) Государство, монархическое (Герцогство Аренберг). Образовалось на терр. совр.Германии в результате ликвидации Священной Римской империи (в составе Священной Римской империи образовано в 1645 в результате преобразования Княжества Аренберг). Член Рейнского союза. Присоединен к Франциии (в 1814 поделено между Ганновером и Пруссией). Столица — Аремберг",Германия
582,(AD 1806–1810),АРИАНИТИ,"АРИАНИТИ (AD 1432–1444) Государство, феодальное, монархическое (Княжество Арианити). Зародилось на терр. совр.Албании в результате отделения от Музаки. Вошло в состав Лежской лиги. Столица — Берат",Албания
787,(AD 1991–),АРМЕНИЯ,"АРМЕНИЯ (AD 1991–) Государство, республика (Республика Армения). Зародилось на терр. совр. Армении в результате распада СССР. Столица — Ереван",Армения
27,(322–107 BC),АРМЕНИЯ МАЛАЯ,"АРМЕНИЯ МАЛАЯ (322–107 BC) Государство, эллинистическое рабовладельческое, форма правления монархия. Образовано в результате распада Империи Александра Македонскогона терр. совр.Турции. Столица – Ани-Камах. Вошло в состав Понтийского царства.",Турция
880,(AD 1910–1934),АСИР,"АСИР (AD 1910–1934) Государство, феодальное, теократическое, мусульманское (Эмират Асир). Зардился на терр. совр.Саудовской Аравиив результате отделения от Османской империи. Столица — Эс-Сабья. Разделено между Саудовской Аравией и Йеменом",Йемен Саудовская Аравия
5,(1400–605 BC),АССИРИЯ,"АССИРИЯ (1400–605 BC) Государство, рабовладельческое, монархическое. Зародилось на терр. совр. Ирака. Отделилась от Митанни. Столица — Ашшур. Уничтожено коалицией Вавилонии и Мидии",Израиль Иордания Ирак Иран Кипр Ливан Сирия Турция
333,(AD 1140–1372),АСТИ,"АСТИ (AD 1140–1372) Государство, феодальное, монархическое. (Графство Асти). Зародилось на терр. совр.Италии в результате отделения от Священной Римской Империи (формально оставалась в составе Священной Римской Империи). Столица — Асти. Вошло в состав Франции",Италия
696,(AD 1140–1372),АСТРАХАНСКОЕ ХАНСТВО,"АСТРАХАНСКОЕ ХАНСТВО (AD 1460–1556) Государство, феодальное, монархическое. Зародилось на терр. совр.России (ЮФО) в процессе распада Золотой орды на ряд независимых государств. Присоединено к Русскому царству. Столица — Хаджи-Тархан.","Россия, (ЮФО)"
222,(AD 718–924),АСТУРИЯ,"АСТУРИЯ (AD 718–924) Государство, феодальное, монархическое (Королевство Астурия). Зародилось на терр. совр.Испания в результате отделения от Арабского халифата. Столица — Овьедо. Переименовано в Королевством Леон",Испания Португалия
778,(AD 1145–1225),АТАБЕКСТВО АЗЕРБАЙДЖАН,"АТАБЕКСТВО АЗЕРБАЙДЖАН (AD 1145–1225) Государство, феодальное, монархическое. Зародилось на терр. совр.Ирана в результате отделения от Сельджукского государства. Завоевано Государством Хорезмшахов. Столицы — Нахичевань, Тебриз, Ардебиль и Хамадан.",Азербайджан Армения Иран
788,(328 BC – AD 224),АТРОПАТЕНА,"АТРОПАТЕНА (328 BC – AD 224) Государство, рабовладельческое, монархическое. Зародилось на терр. совр.Ирана в результате отделения от Империи Александра Македонского. Столицы — Ганзак, Шиз. Вошло в состав Персидской Империи Сасанидов",Азербайджан Иран
905,(750–650 BC),"АУСАН








AWSAN","АУСАН (750–650 BC) Государство, рабовладельческое, монархическое (Аусанское царство). Зародилось на терр. совр. Йемена. Завоевано Сабой. Столица — Аден.

AWSAN (750–650 BC) State, slave, monarchical. Arose in the territory of Yemen. Сonquered by Saba. Capital — Aden",Йемен
925,(AD 1823–),"АФГАНИСТАН






AFGHANISTAN","АФГАНИСТАН (AD 1823–) Государство, республика (Исламская Республика Афганистан; до 1926 — Эмират Афганистан, 1926–1973 — Королевство Афганистан). В 1879–1919 — протекторат Великобритании. Образовано на терр. совр. Афганистана в результате преобразования Дурранийской державы в Эмират Афганистан. Столица — Кабул

AFGHANISTAN (AD 1823–) State Republic (Islamic Republic of Afghanistan, until 1926 - Emirate of Afghanistan, 1926-1973 - Kingdom of Afghanistan). In 1879-1919 - British protectorate. Formed on the territory of Afghanistan as a result of conversion of the Durrani Empire in the Emirate of Afghanistan",Афганистан
503,(AD 1205–1458),АФИНСКОЕ ГЕРЦОГСТВО,"АФИНСКОЕ ГЕРЦОГСТВО (AD 1205–1458) Государство, феодальное, монархическое (вассал Королевства Фессалоники, с 1224 — Ахейского княжества). Зародилось на терр. совр. Греции. Образовано крестоносцами в результате 4 крестового похода на части территории бывшей Византийской империи, отделилось от Королевства Фессалоники. Столица — Афины. Завоевано Османской империей",Греция
485,"(1050–338 ВС},{280–146 ВС)",АФИНЫ,"АФИНЫ (1050–338 ВС},{280–146 ВС) Государство, рабовладельческое, аристократическая республика (с 477 ВС после создания 1-го Афинского морского Соза фактически превратился в государство). (Зародился на терр. совр. Грециипосле захвата п-ова Пелопоннес дорийцами. Завоеван Македонией (Древней)},{Вышел из состава Македонии (Древней). Вошел в состав Римской Республики)",Греция Кипр
499,(280–146 BC),АХЕЙСКИЙ СОЮЗ,"АХЕЙСКИЙ СОЮЗ (280–146 BC) Федерация древнегреческих городов (полисов). Образовалась на терр. совр.Греции в результатк отделения от Македонии (Древней). Распущена, вошла в состав Римской Республики",Греция
504,(AD 1205–1432),АХЕЙСКОЕ КНЯЖЕСТВО,"АХЕЙСКОЕ КНЯЖЕСТВО (AD 1205–1432) Государство, феодальное, монархическое (до 1224 вассал Королевства Фессалоники). Зародилось на терр. совр. Греции. Образовано крестоносцами в результате 4 крестового похода на части территории бывшей Византийской империи, отделилось от Королевства Фессалоники. Столицы — Андравида (1205–1249), Мистра (1249–1262). Завоевано Византийской империей",Греция
980,(AD 1490–1636),АХМАДНАГАРСКИЙ СУЛТАНАТ,"АХМАДНАГАРСКИЙ СУЛТАНАТ (AD 1490–1636) Государство, феодальное, монархическое. Зародилось на терр. совр.Индии в результате отделения от Бахманидского султаната. Столицы — Ахмаднагар, Харки, Даулатабад. Завоевано Империей Великих Моголов",Индия
85,(AD 1307–1398),АХИ,"АХИ (AD 1307–1398) Государство, феодальное. Образовано на терр. совр.Турции в результате отделения от Конийского Султаната. Завоевано Османским Эмиратом",Турция
1016,(AD 1325–1522),АЦТЕКСКАЯ ИМПЕРИЯ,"АЦТЕКСКАЯ ИМПЕРИЯ (AD 1325–1522) Государство, рабовладельческое, монархическое. Зародилось на терр. совр.Мексики в результате объединения племен ацтеков. Столица — Теночтитлан. Завоевано Испанией в 1521, вошло в состав Новой Испании.",Мексика
392,(AD 1806–1810),АШАФФЕНБУРГ,"АШАФФЕНБУРГ (AD 1806–1810) Государство, монархическое (Княжество Ашаффенбург). Образовалось на терр. совр. Германии в результате ликвидации Священной Римской империи. Член Рейнского союза. Вошло в состав Великого герцогства Франкфурт. Столица — Ашаффенбург.",Германия
859,(1970–1758 BC),АШШУР,"АШШУР (1970–1758 BC) Шумерский город-государство, рабовладельческий, монархический. Зародился на терр. совр. Ирака. Завоеван Вавилонией. С 1400 BC — столица Ассирии",Ирак
862,(AD 1157–1258),БАГДАДСКИЙ ХАЛИФАТ,"БАГДАДСКИЙ ХАЛИФАТ (AD 1157–1258) Государство, феодальное теократическое мусульманское. Образовано на терр. совр. Ирака в результате распада Сельджукского государства и восстановления правления династии Аббасидов. Столица — Багдад. Завоевано Государством Хулагуидов",Ирак Иран
242,(AD 1022-1094),БАДАХОССКИЙ ЭМИРАТ,"БАДАХОССКИЙ ЭМИРАТ (AD 1022-1094) Государство, феодальное теократическое арабо-мусульманское. Зародилось на терр. совр. Испании в результате распада Кордовского Халифата. Столица — Бадахос. Завоевано Государством Альморавидов",Испания Португалия
