ccode,MinisterPersonalID,country_name,country_name2,foreignminister,fminday,fminmonth,fminyear,fmoutday,fmoutmonth,fmoutyear,portfolio_name,post_name,acting,Term_no,repeated_terms,HeadofGovernment,sex,birthyear,deadyear,birthplace,marital,children,nr_children,fambgnoble,fambgprof,education,edufield,school_name,sec_school_name,Farmer,Business,Worker,Cleric,Politics,Law,Whitecollar,Int_org,InternationalOrganizationname,Diplomat,Dip_post,Dip_country,Mili_edu,Mili_service,Mili_rank,Mili_combat,Combat_war,Mili_injury,Rebel,party,party_name,party_lead,parliament_bg,Former_minister,Former_min_post,Former_gov_office,Former_gov_post,org_connections,organisation,Manner_out,Reason_out,version
2,2010,United States of America,United States of America,John Graham,4,3,1817,9,3,1817,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2012,United States of America,United States of America,John Quincy Adams,22,9,1817,3,3,1825,Department of State,Secretary of State,1,1,1,1,1,1767,1848,"Braintree, Massachusetts",2,2,4,1,6,4,08,"""law under Theophilus Parsons"", Newburyport","Harvard University, Massachusetts",1,1,1,1,2,2,2,1,9999,2,"Minister Resident (NL), U.S. Minister to the English court, Envoy Extraordinary and Minister Plenipotentiary (UK) Minister Plenipotentiary (Portugal, Germany, Russia)","The Netherlands, Prussia, Russia, England",1,1,9999,9999,9999,9999,1,2,Republican Party,1,2,1,9999,1,9999,1,9999,1,11,v210301
2,2013,United States of America,United States of America,Daniel Brent,4,3,1825,7,3,1825,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2014,United States of America,United States of America,Henry Clay,7,3,1825,3,3,1829,Department of State,Secretary of State,1,1,1,1,1,1777,1852,"Hanover County, Virginia",2,2,11,1,1,7777,08,Clerkship with legal scholar George Wythe,7777,1,1,1,1,2,2,2,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Democratic-Republican,2,2,1,9999,1,9999,1,9999,1,11,v210301
2,2015,United States of America,United States of America,James A. Hamilton,4,3,1829,6,3,1829,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2016,United States of America,United States of America,Martin van Buren,6,3,1829,23,5,1831,Department of State,Secretary of State,1,1,1,1,1,1782,1862,"Kinderhook, New York",4,2,4,1,1,2,08,"""Office of lawyer Francis Silvester""",Kinderhook academy,1,1,1,1,2,2,2,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Democratic Party,2,2,1,9999,1,9999,2,Albany Regency,1,21,v210301
2,2017,United States of America,United States of America,Edward Livingson,24,5,1831,28,5,1833,Department of State,Secretary of State,1,1,1,1,1,1764,1836,"Clermont, New York",5,2,3,1,6,4,08,College of New Jersey,7777,1,1,1,1,2,2,1,1,9999,1,9999,9999,1,2,aide-de-camp to General Andrew Jackson,7777,Battle of New Orleans,7777,1,2,Republican Party,1,2,1,9999,1,9999,1,9999,1,31,v210301
2,2018,United States of America,United States of America,Louis McLane,29,5,1833,26,6,1834,Department of State,Secretary of State,1,1,1,1,1,1786,1857,"Smyrna, Delaware",2,2,15,1,5,4,08,Newark College,7777,1,1,1,1,2,2,1,1,9999,2,Envoy Extraordinary and Minister Plenipotentiary,United Kingdom,1,2,1st Lieutenant,1,War of 1812,9999,1,2,Federalist Party,1,2,2,Secretary of the Treasury,1,9999,1,9999,1,23,v210301
2,2019,United States of America,United States of America,John Forsyth,27,6,1834,3,3,1841,Department of State,Secretary of State,1,1,1,1,1,1780,1841,"Fredricksburg, Virginia",2,7777,7777,1,7777,4,08,College of New Jersey,7777,1,1,1,1,2,2,1,1,9999,2,Minister Plenipotentiary to Spain,Spain,1,1,9999,9999,9999,9999,1,2,Democratic Party,1,2,1,9999,1,9999,1,9999,1,11,v210301
2,2020,United States of America,United States of America,Jacob L. Martin,4,3,1841,5,3,1841,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2021,United States of America,United States of America,Daniel Webster,5,3,1841,8,5,1843,Department of State,Secretary of State,1,1,2,1,1,1782,1852,"Salisbury, New Hampshire, USA",5,2,5,1,1,4,0608,"Dartmoth College, New Hampshire",7777,1,1,1,1,2,2,2,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Whig Party,2,2,1,9999,1,9999,2,9999,1,23,v210301
2,2022,United States of America,United States of America,Hugh S. Legare,9,5,1843,21,7,1843,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2024,United States of America,United States of America,Abel P. Upshur,24,6,1843,28,2,1844,Department of State,Secretary of State,3,1,1,1,1,1791,1844,"Northhampton County, Virginia",5,2,7777,1,1,4,08,College of New Jersey,"Yale College, Connecticut",1,1,1,1,2,2,1,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Whig Party,1,1,2,Secretary of the Navy,1,9999,1,9999,2,9999,v210301
2,2023,United States of America,United States of America,William S. Derrick,21,6,1843,23,6,1843,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2025,United States of America,United States of America,John Nelson,29,2,1844,31,3,1844,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2026,United States of America,United States of America,John C. Calhoun,1,4,1844,10,3,1845,Department of State,Secretary of State,1,1,1,1,1,1782,1850,"Abbeville County, South Carolina",2,2,10,1,1,4,08,"Litchfield Law School, Connecticut","Yale College, Connecticut",1,1,1,1,2,2,1,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Republican Party,2,2,2,"Secretary of War, Vice President",1,9999,1,9999,1,11,v210301
2,2027,United States of America,United States of America,James Buchanan,10,3,1845,7,3,1849,Department of State,Secretary of State,1,1,1,1,1,1791,1868,"Mercersburg, Pennsylvania",1,1,9999,1,1,4,08,"Dickinson College, Pa, law studies in Lancaster","Dickinson College, Pennsylvania",1,1,1,1,2,2,1,1,9999,2,Envoy Extraordinary and Minister Plenipotentiary,Russia,1,2,7777,7777,War of 1812,7777,1,2,Democratic Party,1,2,1,9999,1,9999,1,9999,1,11,v210301
2,2028,United States of America,United States of America,John M. Clayton,8,3,1849,22,7,1850,Department of State,Secretary of State,1,1,1,1,1,1796,1856,"Dagsboro, Delaware",4,2,2,1,1,4,08,Litchfield Law School,"Yale College, Connecticut",2,1,1,1,2,2,1,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Whig Party,1,2,1,9999,1,9999,1,9999,1,32,v210301
2,2021,United States of America,United States of America,Daniel Webster,23,7,1850,24,10,1852,Department of State,Secretary of State,1,2,2,1,1,1782,1852,"Salisbury, New Hampshire",5,2,5,1,1,4,0608,"Dartmouth College, New Hampshire",7777,1,1,1,1,2,2,2,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Whig Party,1,2,2,Secretary of State,1,9999,2,7777,2,9999,v210301
2,2029,United States of America,United States of America,Charles M. Conrad,25,10,1852,5,11,1852,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2030,United States of America,United States of America,Edward Everett,6,11,1852,3,3,1853,Department of State,Secretary of State,1,1,1,1,1,1794,1865,"Dorchester, Massachusetts",2,2,6,1,4,5,0611,"University of Göttingen, Göttingen, Germany","Harvard College, Massachusetts",1,1,1,2,2,1,2,1,9999,2,Envoy Extraordinary and Minister Plenipotentiary,United Kingdom,1,1,9999,9999,9999,9999,1,2,Whig Party,1,2,1,9999,2,Confidential advisor for Daniel Webster,2,President of Harvard University,1,11,v210301
2,2031,United States of America,United States of America,William Hunter,4,3,1853,7,3,1853,Department of State,Secretary of State,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2032,United States of America,United States of America,William L. Marcy,7,3,1853,3,3,1857,Department of State,Secretary of State,1,1,1,1,1,1786,1857,"Sturbridge, Massachusetts",5,2,6,1,1,4,08,"""Office of William M. Bliss""","Brown University, Rhode Island",1,1,1,1,2,2,2,1,9999,1,9999,9999,1,2,Adjutant General,2,War of 1812,7777,1,2,Democratic Party,1,2,2,Secretary of War,1,9999,2,Holy Alliance/Albany Regency,1,11,v210301
2,2033,United States of America,United States of America,Lewis Cass,6,3,1857,14,12,1860,Department of State,Secretary of State,1,1,1,1,1,1782,1866,"Exeter, New Hampshire",4,2,7,1,1,3,08,"""Office of Return Jonathan Meigs""","Phillips Exeter Academy, New Hampshire",1,1,1,1,2,2,2,1,9999,2,Envoy Extraordinary and Minister Plenipotentiary,France,1,2,Brigadier General,2,War of 1812,7777,1,2,Democratic Party,2,2,2,Secretary of War,1,9999,2,Masonic Order of Michigan (Grand Master),1,23,v210301
2,2034,United States of America,United States of America,Jeremiah S. Black,17,12,1860,3,3,1861,Department of State,Secretary of State,1,1,1,1,1,1810,1883,"Somerset County, Pennsylvania",2,2,4,1,1,2,08,"""the office of Chauncey Forward, lawyer""",7777,1,1,1,1,2,2,1,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Democratic Party,1,1,2,Attorney General,1,9999,1,9999,1,11,v210301
2,2031,United States of America,United States of America,William Hunter,15,12,1860,16,12,1860,Department of State,Secretary of State,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2035,United States of America,United States of America,William H. Seward,5,3,1861,3,3,1869,Department of State,Secretary of State,1,1,1,1,1,1801,1872,"Florida, New York",2,2,6,1,2,4,0806,"Union College, Schenectady New York",7777,1,2,1,1,2,2,2,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Republican Party,1,2,1,9999,1,9999,1,9999,1,11,v210301
2,2036,United States of America,United States of America,Elihu B. Washburne,5,3,1869,10,3,1869,Department of State,Secretary of State,1,1,1,1,1,1816,1887,"Livermore, Maine",2,7777,7777,1,1,4,08,"Harvard Law School, Massachusetts","Kent's Hill Seminary, Massachusetts(?)",1,1,1,1,2,2,1,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Republican Party,1,2,1,9999,1,9999,1,9999,1,31,v210301
2,2037,United States of America,United States of America,Hamilton Fish,11,3,1869,3,3,1877,Department of State,Secretary of State,1,1,1,1,1,1808,1893,"New York, New York",2,2,8,1,5,4,08,"Columbia University, New York",7777,1,1,1,1,2,2,2,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Republican Party,1,2,1,9999,1,9999,1,9999,1,11,v210301
2,2038,United States of America,United States of America,William M. Evarts,12,3,1877,3,3,1881,Department of State,Secretary of State,1,1,1,1,1,1818,1901,"Boston, Massachusetts",2,2,12,1,7,4,08,"Harvard Law School, Massachusetts","Yale College, Connecticut",1,1,1,1,2,2,1,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Republican Party,2,1,2,Attorney General,1,9999,2,Skull and Bones,1,11,v210301
2,2039,United States of America,United States of America,James G. Blaine,5,3,1881,11,12,1881,Department of State,Secretary of State,1,1,2,1,1,1830,1893,"West Brownsville, Pennsylvania",2,2,7777,1,2,4,7777,"Washington College, Maryland",7777,1,2,1,1,2,1,2,1,9999,1,9999,9999,2,1,9999,9999,9999,9999,1,2,Republican Party,2,2,1,9999,1,9999,1,9999,1,12,v210301
2,2040,United States of America,United States of America,Frederick T. Frelinghuysen,12,12,1881,3,3,1885,Department of State,Secretary of State,1,1,1,1,1,1817,1885,"Millstone, New Jersey",2,2,6,1,7,4,08,"Rutgers College, New Jersey",7777,1,1,1,1,2,2,1,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Republican Party,1,2,1,9999,1,9999,1,9999,1,11,v210301
2,2041,United States of America,United States of America,Thomas F. Bayard,6,3,1885,3,3,1889,Department of State,Secretary of State,1,1,1,1,1,1828,1898,"Wilmington, Delaware",2,2,12,1,6,4,08,"""A private school"" in Flushing, New York",7777,1,1,1,1,2,2,2,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Democratic Party,1,2,1,9999,1,9999,1,9999,1,11,v210301
2,2039,United States of America,United States of America,James G. Blaine,7,3,1889,4,6,1892,Department of State,Secretary of State,1,2,2,1,1,1830,1893,"West Brownsville, Pennsylvania",2,2,7777,1,2,4,7777,"Washington College, Maryland",7777,1,1,1,1,2,1,2,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Republican Party,2,2,2,Secretary of State,1,9999,1,9999,3,9999,v210301
2,2042,United States of America,United States of America,William F. Wharton,4,6,1892,29,6,1892,Department of State,Secretary of State,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2043,United States of America,United States of America,John W. Foster,29,6,1892,23,2,1893,Department of State,Secretary of State,1,1,1,1,1,1836,1917,"Pike County, Indiana",2,2,4,1,2,4,08,"Harvard Law School, Massachusetts","State University, Indiana",1,1,1,1,2,2,2,1,9999,2,Envoy Extraordinary and Minister Plenipotentiary,"Mexico, Russia, Spain",7777,2,brevet brigadier general,2,American Civil War,1,1,2,Republican Party,2,1,1,9999,1,9999,2,Military Order of the Loyal Legion of the United States,1,11,v210301
2,2042,United States of America,United States of America,William F. Wharton,23,2,1893,6,3,1893,Department of State,Secretary of State,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2044,United States of America,United States of America,Walter Q. Gresham,7,3,1893,28,5,1895,Department of State,Secretary of State,1,1,1,1,1,1832,1895,"Harrison County, Indiana",2,7777,7777,1,5,4,08,Indiana State University,7777,2,1,1,1,2,2,2,1,9999,1,9999,9999,7777,2,brevet Major General,2,American Civil War,2,1,2,Republican Party,2,1,2,"Secretary of the Treasury, Postmaster general",1,9999,1,9999,2,9999,v210301
2,2045,United States of America,United States of America,Edwin F. Uhl,28,5,1895,9,6,1895,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2046,United States of America,United States of America,Richard Olney,10,6,1895,3,3,1897,Department of State,Secretary of State,1,1,1,1,1,1835,1917,"Oxford, Massachusetts",2,2,2,1,2,4,08,"Harvard Law School, Massachusetts","Brown University, Rhode Island",1,1,1,1,2,2,1,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Democratic Party,1,1,2,Attorney General,1,9999,1,9999,1,11,v210301
2,2047,United States of America,United States of America,John Sherman,4,3,1897,27,4,1898,Department of State,Secretary of State,1,1,1,1,1,1823,1900,"Lancaster, Ohio",2,7777,7777,1,6,3,0803,Tutored in law by a relative,7777,1,1,1,1,2,2,1,1,9999,1,9999,9999,7777,2,7777,7777,7777,7777,1,2,Republican Party,1,2,2,Secretary of the Treasury,1,9999,1,9999,1,23,v210301
2,2048,United States of America,United States of America,William R. Day,28,4,1898,31,8,1898,Department of State,Secretary of State,1,1,1,1,1,1849,1923,"Ravenna, Ohio",2,2,4,1,7,4,08,"University of Michigan, Ann Arbor",7777,1,1,1,1,2,2,1,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,1,Republiacn Party,9999,1,1,9999,2,Assistant Secretary of State,1,9999,1,32,v210301
2,2049,United States of America,United States of America,Alvey A. Adee,17,9,1898,29,9,1898,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2050,United States of America,United States of America,John M. Hay,1,9,1898,1,7,1905,Department of State,Secretary of State,1,1,1,1,1,1838,1905,"Salem, Indiana",2,2,4,1,7,4,08,"Brown University, Rhode Island","Illinois State College, Illinois",1,1,1,1,2,1,2,1,9999,2,Ambassador Extraordinary and Plenipotentiary to the UK,"England, France, Austria, Spain",1,1,brevet Colonel,9999,9999,9999,1,1,Republican Party,9999,1,1,9999,2,Assistant Secretary of State,1,9999,2,9999,v210301
2,2051,United States of America,United States of America,Francis B. Loomis,1,7,1905,18,7,1905,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2052,United States of America,United States of America,Elihu Root,19,7,1905,27,1,1909,Department of State,Secretary of State,1,1,1,1,1,1845,1937,"Clinton, New York",7777,7777,7777,1,7,4,08,New York University,"Hamilton College, New York",1,1,1,1,2,2,2,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Republican Party,1,1,2,Secretary of War,1,9999,1,9999,1,31,v210301
2,2053,United States of America,United States of America,Robert Bacon,27,1,1909,4,3,1909,Department of State,Secretary of State,1,1,1,1,1,1860,1919,"Jamaica Plain, Massachusetts",2,2,4,1,2,4,7777,"Harvard, Massachusetts",7777,1,2,1,1,2,1,2,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,1,Republican Party,9999,1,1,9999,2,Assistant Secretary of State,1,9999,1,11,v210301
2,2054,United States of America,United States of America,Philander Chase Knox,4,3,1909,3,3,1913,Department of State,Secretary of State,1,1,1,1,1,1853,1921,"Fayette County, Pennsylvania",2,2,7777,1,7,4,0806,"West Virginia University College of Law, West Virginia",Mount Union College,1,1,1,1,2,2,2,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Republican Party,1,2,2,Attorney General,1,9999,2,United States Steel Corporation,1,11,v210301
2,2055,United States of America,United States of America,William Jennings Bryan,4,3,1913,9,6,1915,Department of State,Secretary of State,1,1,1,1,1,1860,1925,"Salem, Illinois",2,2,3,1,7,4,08,"Union College of Law, Chicago","Illinois College, Jacksonville",1,1,1,1,2,2,2,1,9999,1,9999,9999,1,2,7777,1,9999,9999,1,2,Democratic Party,2,2,1,9999,1,9999,1,9999,1,23,v210301
2,2056,United States of America,United States of America,Robert Lansing,9,6,1915,13,2,1920,Department of State,Secretary of State,1,1,1,1,1,1864,1928,"Watertown, New York",2,7777,7777,1,7,4,7777,"Amherst College, Massachusetts",7777,1,1,1,1,2,2,2,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Democratic party,1,1,1,9999,2,Secretary of State ad interim,2,American Society of International Law,1,29,v210301
2,2057,United States of America,United States of America,Frank Lyon Polk,14,2,1920,14,3,1920,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2058,United States of America,United States of America,Bainbridge Colby,23,3,1920,4,3,1921,Department of State,Secretary of State,1,1,1,1,1,1869,1950,"St. Louis, Missouri",2,2,3,1,7,4,08,New York Law School,"Columbia University Law School, New York",1,1,1,1,2,2,1,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Progressive Party,2,1,1,9999,1,9999,1,9999,1,11,v210301
2,2059,United States of America,United States of America,Chales Evans Hughes,4,3,1921,9,1,1925,Department of State,Secretary of State,1,1,1,1,1,1862,1948,"Glen Falls, New York",2,2,4,1,4,4,0806,"Columbia University Law School, New York","Brown University, Rhode Island",1,1,1,1,2,2,2,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Republican Party,2,7777,1,9999,1,9999,2,Northern Baptist Convention,1,11,v210301
2,2060,United States of America,United States of America,Frank B. Kellogg,10,1,1925,3,3,1929,Department of State,Secretary of State,1,1,1,1,1,1856,1937,"Potsdam, New York",2,7777,7777,1,1,1,9999,"""Old Stone School House"", Minnesota",7777,2,1,1,1,2,2,1,1,9999,2,Ambassador Extraordinary and Plenipotentiary,England,1,1,9999,9999,9999,9999,1,2,Republican Party,2,2,1,9999,1,9999,2,President of the American Bar Association,1,11,v210301
2,2061,United States of America,United States of America,Henry L. Stimson,4,3,1929,3,3,1933,Department of State,Secretary of State,1,1,1,1,1,1867,1950,"New York City, NY",2,7777,7777,1,7,4,08,Harvard Law,"Yale University, Connecticut",1,1,1,1,2,2,2,1,9999,2,Governor General of the Philippines,Philippines,2,2,Colonel,2,"World War 1, France",1,1,2,Republican Party,7777,1,2,Secretary of War,1,9999,1,9999,1,11,v210301
2,2062,United States of America,United States of America,Cordell Hull,4,3,1933,26,11,1944,Department of State,Secretary of State,1,1,1,1,1,1871,1955,"Byrdstown, Tennessee",2,1,9999,1,1,4,08,Cumberland University Law School,7777,1,1,1,1,2,2,1,1,9999,1,9999,9999,7777,2,Captain,1,9999,9999,1,2,Democratic Party,2,2,1,9999,1,9999,1,9999,3,9999,v210301
2,2063,United States of America,United States of America,Edward Stettinius,27,11,1944,12,4,1945,Department of State,Secretary of State,1,1,1,1,1,1900,1949,"Chicago, Illinois",2,2,3,1,2,3,7777,"University of Virginia, Virginia",7777,1,2,2,2,2,1,1,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,1,Democratic Party,9999,1,1,9999,2,Director of Lend-Lease aid and Special Assistant to the President,2,Chairman of board of directors for U.S. Steel Corporation 1938-1940,1,31,v210301
2,2064,United States of America,United States of America,Joseph C. Grew,28,6,1945,1,7,1945,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2065,United States of America,United States of America,James Byrnes,3,7,1945,21,1,1947,Department of State,Secretary of State,1,1,1,1,1,1879,1972,"Charleston, S.C, USA",2,7777,7777,1,9999,3,08,Tutelegde at private law firm,7777,1,1,1,1,2,2,2,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Democratic party,7777,2,1,9999,2,Director of Office of Economic Stabilization (OES) and of Office of War Mobilization (OWM),7777,7777,3,9999,v210301
2,2066,United States of America,United States of America,George C. Marshall,21,1,1947,20,1,1949,Department of State,Secretary of State,1,1,1,1,1,1880,1959,"Uniontown, Pennsylvania",5,1,9999,1,3,3,10,Infantry and Cavalry School at Fort Leavenworth,"Virginia Military Institute, Virginia",1,1,1,1,2,1,1,1,9999,2,Ambassador,China,2,2,General,2,7777,7777,1,1,Democratic Party,9999,1,1,9999,2,Army Chief of Staff,2,Freemasons,3,9999,v210301
2,2067,United States of America,United States of America,Robert Lovett,20,1,1949,21,1,1949,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2068,United States of America,United States of America,Dean Acheson,21,1,1949,20,1,1953,Department of State,Secretary of State,1,1,1,1,1,1893,1971,"Middletown, Connecticut, USA",2,2,3,1,4,4,08,Harvard Law,"Yale University, Connecticut",1,1,1,1,2,2,1,1,9999,1,9999,9999,1,1,9999,9999,9999,9999,1,2,Democratic Party,1,1,1,9999,2,Under Secretary of State,1,9999,1,11,v210301
2,2069,United States of America,United States of America,H. Freeman Matthews,20,1,1953,21,1,1953,Department of State,Secretary of State,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v210301
2,2070,United States of America,United States of America,John Foster Dulles,21,1,1953,15,4,1959,Department of State,Secretary of State,1,1,1,1,1,1888,1959,"Washington, D.C.",2,2,3,1,4,4,0608,"George Washington Law School, Washington D.C.",Princeton,1,1,1,2,2,2,1,1,9999,1,9999,9999,1,1,Major,1,9999,9999,1,2,Republican Party,2,2,1,9999,2,"Official advisor to SoSs Stetteinius, Byrnes, Marshall, Acheson",2,Federal Concil of Churches,3,9999,v210301
